[2025-02-14 02:50:15] Account: SAV00001 | Type: WITHDRAWAL | Amount: $300.00 | Balance: $700.00
[2025-02-14 02:50:15] Account: CHK00002 | Type: DEPOSIT | Amount: $300.00 | Balance: $800.00
[2025-02-14 02:50:15] Account: SAV00001 | Type: INTEREST | Amount: $1.46 | Balance: $701.46
[2025-02-14 02:50:15] Account: CHK00002 | Type: FEE | Amount: $12.00 | Balance: $788.00
[2025-02-14 02:57:34] Account: SAV00001 | Type: WITHDRAWAL | Amount: $300.00 | Balance: $700.00
[2025-02-14 02:57:34] Account: CHK00002 | Type: DEPOSIT | Amount: $300.00 | Balance: $800.00
[2025-02-14 02:57:34] Account: SAV00001 | Type: INTEREST | Amount: $1.46 | Balance: $701.46
[2025-02-14 02:57:34] Account: CHK00002 | Type: FEE | Amount: $12.00 | Balance: $788.00
[2025-02-14 02:58:35] Account: SAV00001 | Type: WITHDRAWAL | Amount: $300.00 | Balance: $700.00
[2025-02-14 02:58:35] Account: CHK00002 | Type: DEPOSIT | Amount: $300.00 | Balance: $800.00
[2025-02-14 02:58:35] Account: SAV00001 | Type: INTEREST | Amount: $1.46 | Balance: $701.46
[2025-02-14 02:58:35] Account: CHK00002 | Type: FEE | Amount: $12.00 | Balance: $788.00
[2025-02-14 03:02:13] Account: SAV00001 | Type: WITHDRAWAL | Amount: $300.00 | Balance: $700.00
[2025-02-14 03:02:13] Account: CHK00002 | Type: DEPOSIT | Amount: $300.00 | Balance: $800.00
[2025-02-14 03:02:13] Account: SAV00001 | Type: INTEREST | Amount: $1.46 | Balance: $701.46
[2025-02-14 03:02:13] Account: CHK00002 | Type: FEE | Amount: $12.00 | Balance: $788.00
[2025-02-14 03:02:32] Account: SAV00001 | Type: WITHDRAWAL | Amount: $300.00 | Balance: $700.00
[2025-02-14 03:02:32] Account: CHK00002 | Type: DEPOSIT | Amount: $300.00 | Balance: $800.00
[2025-02-14 03:02:32] Account: SAV00001 | Type: INTEREST | Amount: $1.46 | Balance: $701.46
[2025-02-14 03:02:32] Account: CHK00002 | Type: FEE | Amount: $12.00 | Balance: $788.00
[2025-02-14 04:37:11] Account: SAV00001 | Type: WITHDRAWAL | Amount: $300.00 | Balance: $700.00
[2025-02-14 04:37:11] Account: CHK00002 | Type: DEPOSIT | Amount: $300.00 | Balance: $800.00
[2025-02-14 04:37:11] Account: SAV00001 | Type: INTEREST | Amount: $1.46 | Balance: $701.46
[2025-02-14 04:37:11] Account: CHK00002 | Type: FEE | Amount: $12.00 | Balance: $788.00
